New topic,/ecu_pwm
rosbagTimestamp,motor,servo
1551264320677761177,1620.0,1540.0
1551264320696141344,1620.0,1540.0
1551264320716202261,1620.0,1540.0
1551264320736125636,1620.0,1540.0
1551264320756564178,1620.0,1540.0
1551264320776622386,1620.0,1540.0
1551264320796438469,1620.0,1540.0
1551264320816411928,1620.0,1540.0
1551264320836474803,1620.0,1540.0
1551264320857387261,1620.0,1540.0
1551264320876095428,1620.0,1540.0
1551264320896518844,1620.0,1540.0
1551264320916032386,1620.0,1540.0
1551264320936596969,1620.0,1540.0
1551264320956479719,1620.0,1540.0
1551264320976084303,1620.0,1540.0
1551264320996204219,1620.0,1540.0
1551264321016277386,1620.0,1540.0
1551264321036266094,1620.0,1540.0
1551264321056122553,1620.0,1540.0
1551264321076219178,1620.0,1540.0
1551264321096291094,1620.0,1540.0
1551264321116116011,1620.0,1540.0
1551264321136720053,1620.0,1540.0
1551264321156108511,1620.0,1540.0
1551264321176554511,1620.0,1540.0
1551264321196393178,1620.0,1540.0
1551264321215989303,1620.0,1540.0
1551264321236163803,1620.0,1540.0
1551264321256406469,1620.0,1540.0
1551264321276145136,1620.0,1540.0
1551264321297072261,1620.0,1540.0
1551264321316428844,1620.0,1540.0
1551264321336085678,1620.0,1540.0
1551264321356244053,1620.0,1540.0
1551264321376501678,1620.0,1540.0
1551264321396167136,1620.0,1540.0
1551264321416159261,1620.0,1540.0
1551264321436610344,1620.0,1540.0
1551264321456828469,1620.0,1540.0
1551264321476644136,1620.0,1540.0
1551264321496946428,1620.0,1540.0
1551264321516691803,1620.0,1540.0
1551264321536194011,1620.0,1540.0
1551264321556228636,1620.0,1540.0
1551264321576621428,1620.0,1540.0
1551264321596504303,1620.0,1540.0
1551264321616405511,1620.0,1540.0
1551264321636193719,1620.0,1540.0
1551264321656464219,1620.0,1540.0
1551264321677044178,1620.0,1540.0
1551264321696563303,1620.0,1540.0
1551264321716531969,1620.0,1540.0
1551264321736140344,1620.0,1540.0
1551264321756435886,1620.0,1540.0
1551264321776385469,1620.0,1540.0
1551264321796253261,1620.0,1540.0
1551264321816569428,1620.0,1540.0
1551264321836415344,1620.0,1540.0
1551264321856794344,1620.0,1540.0
1551264321876569386,1620.0,1540.0
1551264321896260594,1620.0,1540.0
1551264321916678553,1620.0,1540.0
1551264321936246761,1620.0,1540.0
1551264321956522219,1620.0,1540.0
1551264321976383219,1620.0,1540.0
1551264321996228928,1620.0,1540.0
1551264322016277261,1620.0,1540.0
1551264322036777094,1620.0,1540.0
1551264322056061969,1620.0,1540.0
1551264322076654219,1620.0,1540.0
1551264322096741553,1620.0,1540.0
1551264322116904469,1620.0,1540.0
1551264322136640011,1620.0,1540.0
1551264322156415553,1620.0,1540.0
1551264322176863053,1620.0,1540.0
1551264322196226219,1620.0,1540.0
1551264322216262594,1620.0,1540.0
1551264322236755886,1620.0,1540.0
1551264322256480136,1620.0,1540.0
1551264322276388344,1620.0,1540.0
1551264322297104178,1620.0,1540.0
1551264322316307261,1620.0,1540.0
1551264322336239344,1620.0,1540.0
1551264322356683761,1620.0,1540.0
1551264322376109178,1620.0,1540.0
1551264322396419511,1620.0,1540.0
1551264322416426386,1620.0,1540.0
1551264322436313303,1620.0,1540.0
1551264322456255719,1620.0,1540.0
1551264322476237636,1620.0,1540.0
1551264322496450803,1620.0,1540.0
1551264322516640303,1620.0,1540.0
1551264322536544303,1620.0,1540.0
1551264322556655636,1620.0,1540.0
1551264322576108178,1620.0,1540.0
1551264322596443594,1620.0,1540.0
1551264322616550261,1620.0,1540.0
1551264322636618178,1620.0,1540.0
1551264322656194761,1620.0,1540.0
1551264322676247844,1620.0,1540.0
1551264322696619011,1620.0,1540.0
1551264322716386511,1620.0,1540.0
1551264322736125553,1620.0,1540.0
1551264322756693053,1620.0,1540.0
1551264322776443261,1620.0,1540.0
1551264322796402761,1620.0,1540.0
1551264322816626094,1620.0,1540.0
1551264322836148719,1620.0,1540.0
1551264322856163428,1620.0,1540.0
1551264322876210303,1620.0,1540.0
1551264322896420094,1620.0,1540.0
1551264322916268386,1620.0,1540.0
1551264322936291344,1620.0,1540.0
1551264322956542969,1620.0,1540.0
1551264322976409219,1620.0,1540.0
1551264322998259761,1620.0,1540.0
1551264323016642553,1620.0,1540.0
1551264323036526594,1620.0,1540.0
1551264323056684261,1620.0,1540.0
1551264323076173886,1620.0,1540.0
1551264323096924594,1620.0,1540.0
1551264323116411719,1620.0,1540.0
1551264323136493428,1620.0,1540.0
1551264323156496469,1620.0,1540.0
1551264323176231428,1620.0,1540.0
1551264323196319219,1620.0,1540.0
1551264323216258969,1620.0,1540.0
1551264323236169844,1620.0,1540.0
1551264323256655803,1620.0,1540.0
1551264323276592344,1620.0,1540.0
1551264323296927219,1620.0,1540.0
1551264323316619969,1620.0,1540.0
1551264323336869261,1620.0,1540.0
1551264323356733719,1620.0,1540.0
1551264323376396594,1620.0,1540.0
1551264323396876803,1620.0,1540.0
1551264323416569594,1620.0,1540.0
1551264323436167678,1620.0,1540.0
1551264323456633553,1465.0,1540.0
1551264323476429886,1465.0,1540.0
1551264323496426011,1465.0,1540.0
1551264323516121553,1465.0,1540.0
1551264323536428761,1465.0,1540.0
1551264323556539178,1465.0,1540.0
1551264323576274720,1465.0,1540.0
1551264323596626970,1465.0,1540.0
1551264323617081928,1465.0,1540.0
1551264323636411095,1465.0,1540.0
1551264323656302303,1465.0,1540.0
1551264323676741886,1465.0,1540.0
1551264323696398470,1465.0,1540.0
1551264323716524053,1465.0,1540.0
1551264323736192386,1465.0,1540.0
1551264323756226761,1465.0,1540.0
1551264323776658428,1465.0,1540.0
1551264323796217386,1465.0,1540.0
1551264323816278595,1465.0,1540.0
1551264323836180470,1465.0,1540.0
1551264323856173595,1465.0,1540.0
1551264323876534970,1465.0,1540.0
1551264323896526720,1465.0,1540.0
1551264323916538636,1465.0,1540.0
1551264323936657470,1465.0,1540.0
1551264323957259511,1465.0,1540.0
1551264323976204303,1465.0,1540.0
1551264323996770136,1465.0,1540.0
1551264324016072720,1465.0,1540.0
1551264324036513678,1465.0,1540.0
1551264324056609928,1465.0,1540.0
1551264324076238220,1465.0,1540.0
1551264324096503761,1465.0,1540.0
1551264324116449386,1465.0,1540.0
1551264324136562845,1465.0,1540.0
1551264324156187011,1465.0,1540.0
1551264324176636886,1465.0,1540.0
1551264324196853928,1465.0,1540.0
1551264324216432636,1465.0,1540.0
1551264324236972303,1465.0,1540.0
1551264324256876303,1465.0,1540.0
1551264324276456261,1465.0,1540.0
1551264324296311261,1465.0,1540.0
1551264324316373053,1465.0,1540.0
1551264324336256970,1465.0,1540.0
1551264324357099511,1465.0,1540.0
1551264324376466386,1465.0,1540.0
1551264324396655970,1465.0,1540.0
1551264324417619595,1465.0,1540.0
1551264324436302220,1465.0,1540.0
1551264324456928136,1465.0,1540.0
1551264324476401178,1465.0,1540.0
1551264324496052803,1465.0,1540.0
1551264324516670636,1465.0,1540.0
1551264324536474678,1465.0,1540.0
1551264324556522470,1465.0,1540.0
1551264324576289095,1465.0,1540.0
1551264324596639636,1465.0,1540.0
1551264324616636636,1465.0,1540.0
1551264324636430053,1465.0,1540.0
1551264324656534678,1465.0,1540.0
1551264324676568595,1465.0,1540.0
1551264324696522345,1465.0,1540.0
1551264324716241053,1465.0,1540.0
1551264324736445803,1465.0,1540.0
1551264324756610303,1465.0,1540.0
1551264324776176428,1465.0,1540.0
1551264324796248136,1465.0,1540.0
1551264324816640470,1465.0,1540.0
1551264324836464720,1465.0,1540.0
1551264324856863511,1465.0,1540.0
1551264324876502386,1465.0,1540.0
1551264324896779053,1465.0,1540.0
1551264324916466886,1465.0,1540.0
1551264324936193845,1465.0,1540.0
1551264324956651928,1465.0,1540.0
1551264324976779970,1465.0,1540.0
1551264324996382303,1465.0,1540.0
1551264325016449345,1465.0,1540.0
1551264325036484011,1465.0,1540.0
1551264325056101678,1465.0,1540.0
1551264325076283136,1465.0,1540.0
1551264325096428178,1465.0,1540.0
1551264325116883470,1465.0,1540.0
1551264325136756803,1465.0,1540.0
1551264325156849511,1465.0,1540.0
1551264325176717261,1465.0,1540.0
1551264325197267303,1465.0,1540.0
1551264325216558470,1465.0,1540.0
1551264325236431595,1465.0,1540.0
1551264325256091261,1465.0,1540.0
1551264325276744136,1465.0,1540.0
1551264325296439053,1465.0,1540.0
1551264325316600345,1465.0,1540.0
1551264325336733261,1465.0,1540.0
1551264325356687053,1465.0,1540.0
1551264325376290553,1465.0,1540.0
1551264325396267303,1465.0,1540.0
1551264325416152053,1465.0,1540.0
1551264325436155678,1465.0,1540.0
1551264325456202345,1465.0,1540.0
1551264325480144220,1465.0,1540.0
1551264325496458678,1465.0,1540.0
1551264325519468261,1465.0,1540.0
1551264325536593595,1465.0,1540.0
1551264325556938303,1465.0,1540.0
1551264325576703761,1465.0,1540.0
1551264325596279928,1465.0,1540.0
1551264325616100511,1465.0,1540.0
1551264325636451970,1465.0,1540.0
1551264325656275136,1465.0,1540.0
1551264325676868720,1465.0,1540.0
1551264325696764886,1465.0,1540.0
1551264325716576845,1465.0,1540.0
1551264325736577136,1465.0,1540.0
1551264325756158345,1465.0,1540.0
1551264325776691345,1465.0,1540.0
1551264325796785345,1465.0,1540.0
1551264325816224511,1465.0,1540.0
1551264325836279345,1465.0,1540.0
1551264325856604970,1465.0,1540.0
1551264325876568053,1465.0,1540.0
1551264325896198845,1465.0,1540.0
1551264325916629553,1465.0,1540.0
1551264325936408970,1465.0,1540.0
1551264325956389386,1465.0,1540.0
1551264325976538011,1465.0,1540.0
1551264325996249595,1465.0,1540.0
1551264326016803928,1465.0,1540.0
1551264326036248178,1465.0,1540.0
1551264326056862095,1465.0,1540.0
1551264326076214136,1465.0,1540.0
1551264326096172095,1465.0,1540.0
1551264326116444886,1465.0,1540.0
1551264326136309386,1465.0,1540.0
1551264326157444303,1465.0,1540.0
1551264326176180928,1465.0,1540.0
1551264326197599095,1465.0,1540.0
1551264326216208011,1465.0,1540.0
1551264326236510970,1465.0,1540.0
1551264326256658845,1465.0,1540.0
New topic,/vel_est
rosbagTimestamp,FL,FR,BL,BR
1551264321522753011,0.276441782713,0.0,0.0,0.314672619104
1551264321573310928,0.0,0.389643102884,0.4142395854,0.0
1551264321625960261,0.46106299758,0.0,0.508419334888,0.397990018129
1551264321677092178,0.556787729263,0.501443505287,0.0,0.613968551159
1551264321728656469,0.657636225224,0.624147772789,0.633626103401,0.609447181225
1551264321781852053,0.727220535278,0.706891655922,0.653729438782,0.788552463055
1551264321833498636,0.756502747536,0.756845831871,0.760813474655,0.0
1551264321885301261,0.820738255978,0.786693930626,0.765817284584,0.974486887455
1551264321938901761,0.888144314289,0.832750737667,0.87541103363,0.806201398373
1551264321990923011,0.909851610661,0.906146705151,1.00550532341,1.05497550964
1551264322041537844,0.965374231339,0.930912613869,0.962405264378,0.793174386024
1551264322093970886,1.03118395805,1.02254951,1.04769062996,0.943721354008
1551264322146840761,1.06416857243,1.06405556202,1.09752607346,1.16942977905
1551264322199218511,1.05132043362,1.07421445847,1.04267263412,0.929185032845
1551264322251043428,1.14719069004,1.09464657307,1.16169679165,1.04692387581
1551264322302174886,1.14430654049,1.17768156528,1.2766225338,1.34089815617
1551264322354926219,1.17574584484,1.13897037506,1.25518012047,1.36950588226
1551264322407916219,1.24969768524,1.25502288342,1.16874730587,1.38178932667
1551264322459537178,1.22149646282,1.24287295341,1.19668102264,1.07260358334
1551264322511803928,1.30780041218,1.24333584309,1.33446526527,1.1878798008
1551264322562645136,1.34089815617,1.32703781128,1.43034243584,1.49415504932
1551264322615192094,1.30694687366,1.35248875618,1.37609267235,1.52673077583
1551264322667488553,1.37931501865,1.37684953213,1.42870986462,1.52510309219
1551264322719986053,1.37779676914,1.36279630661,1.31174051762,1.63304412365
1551264322772664969,1.39332509041,1.41139221191,1.24643099308,1.62799990177
1551264322823988303,1.40821647644,1.36632919312,1.41798734665,1.65408444405
1551264322876082344,1.46016728878,1.4719722271,1.38849520683,1.31951868534
1551264322928392011,1.42221665382,1.4855107069,1.40230035782,1.2534519434
1551264322980414136,1.50924301147,1.50651824474,1.33357667923,1.37552571297
1551264323032294386,1.53751373291,1.4445797205,1.50765240192,1.25770258904
1551264323084687303,1.55132877827,1.55470073223,1.47024333477,1.39779829979
1551264323137365719,1.5033519268,1.57673227787,1.4789288044,1.32791769505
1551264323190580428,1.59151732922,1.5705499649,1.38714885712,1.44021677971
1551264323240889178,1.61539399624,1.51038110256,1.57301712036,1.3172621727
1551264323292230511,1.6250936985,1.61905050278,1.53916800022,1.45317471027
1551264323344564011,1.60503721237,1.63331055641,1.54391407967,1.38427245617
1551264323396931219,1.61826550961,1.63331055641,1.44896936417,1.88548803329
1551264323448218428,1.62246060371,1.57128942013,1.63946092129,1.90232276917
1551264323499747970,1.68696546555,1.68781852722,1.59430456161,1.86616241932
1551264323553128928,1.62667763233,1.64619874954,1.71440291405,1.93391799927
1551264323604803928,1.53140032291,1.56637370586,1.58899188042,1.69238245487
1551264323656433136,1.48529028893,1.40426683426,1.54343819618,1.70738732815
1551264323708994178,1.47674775124,1.4620859623,1.41959547997,1.62009823322
1551264323760953136,1.38293433189,1.3428760767,1.33038759232,1.64457666874
1551264323812957928,1.37703895569,1.31553161144,1.19169664383,1.24010241032
1551264323864911845,1.31882357597,1.32387983799,1.26741266251,1.06973910332
1551264323916721261,1.24612092972,1.26469147205,1.30015933514,1.44896936417
1551264323968642470,1.21674692631,1.21630358696,1.23247110844,1.33588945866
1551264324021463011,1.1306116581,1.11079609394,1.10260152817,1.33021080494
1551264324072312178,1.11611974239,1.07919251919,0.964630305767,1.00018250942
1551264324126488970,1.05530905724,1.04900765419,1.14052700996,1.22959578037
1551264324178737470,0.980018317699,0.937448740005,1.00178349018,1.12262642384
1551264324229392928,0.968267917633,0.978868722916,1.01818275452,0.87069183588
1551264324280080886,0.929875254631,0.92259323597,0.926177084446,1.00915324688
1551264324333635845,0.850937008858,0.899149417877,0.816122829914,0.736148416996
1551264324384551511,0.829508543015,0.814198434353,0.841073989868,0.966119349003
1551264324437990345,0.802068650723,0.768402993679,0.679456293583,0.709898412228
1551264324489361720,0.734905838966,0.729286074638,0.765583097935,0.842347502708
1551264324540982136,0.700463593006,0.672475099564,0.0,0.541141688824
1551264324594506636,0.606788277626,0.589464724064,0.63664740324,0.687573969364
1551264324647913011,0.559400439262,0.0,0.615326762199,0.0
1551264324697727428,0.0,0.572218716145,0.492976278067,0.492249280214
1551264324748950011,0.492830723524,0.484180808067,0.0,0.0
1551264324801199761,0.0,0.0,0.456044614315,0.511509776115
1551264324853160386,0.391930609941,0.413128733635,0.0,0.0
1551264324905430178,0.0,0.0,0.335685282946,0.316572695971
1551264324956013095,0.0,0.0,0.0,0.0
1551264325006800095,0.301249265671,0.297623127699,0.0,0.314771562815
1551264325059081095,0.0,0.0,0.0,0.0
1551264325109841345,0.0,0.0,0.241331920028,0.0
1551264325159959428,0.0,0.0,0.0,0.0
1551264325211320011,0.0,0.0,0.0,0.0
1551264325265378845,0.134637877345,0.0,0.0,0.0
1551264325313205345,1.18943190575,0.0,0.0,0.0
1551264325364904803,0.0,0.0,0.0,0.0
1551264325415225720,0.0,0.0,0.0,0.0
1551264325468737386,0.0,0.0,0.0,0.0
1551264325517695470,0.0,0.0,0.0,0.0
1551264325568879511,0.0,0.0,0.0,0.0
1551264325620095095,0.0,0.0,0.0,0.0
1551264325669899803,0.0,0.0,0.0,0.0
1551264325721553553,0.0,0.0,0.0,0.0
1551264325772936053,0.0,0.0,0.0,0.0
1551264325823419011,0.0,0.0,0.0,0.0
1551264325875242178,0.0,0.0,0.0,0.0
1551264325924677220,0.0,0.0,0.0,0.0
1551264325977136303,0.0,0.0,0.0,0.0
1551264326027262386,0.0,0.0,0.0,0.0
1551264326078970136,0.0,0.0,0.0,0.0
1551264326129168095,0.0,0.0,0.0,0.0
1551264326180588636,0.0,0.0,0.0,0.0
1551264326232597595,0.0,0.0,0.0,0.0
New topic,/encoder
rosbagTimestamp,FL,FR,BL,BR
1551264321526833053,2.0,1.0,1.0,2.0
1551264321577461011,2.0,2.0,2.0,2.0
1551264321629220844,3.0,2.0,3.0,3.0
1551264321682617761,4.0,3.0,3.0,4.0
1551264321734044053,5.0,4.0,4.0,5.0
